player,pos,team,games_played,py_games_played,touches,fmb,adj_rus_att_per,adj_rus_yds_per,adj_rus_tds_per,adj_tgt_per,adj_rec_per,adj_rec_yds_per,adj_rec_tds_per,py_qb_fl,py_fl_per_tou
Ricky Seals Jones,TE,IND,0,1,0,0,0,0,0,0.07229375592520881,0.06847143808894787,0.06148478087584558,0.07245969800142504,0,0.01291738781713031
Jermar Jefferson,RB,DET,0,1,0,0,0.02910506034710982,0.04616135422086431,0.06451965903802541,0.01128057338933197,0.01259977951264907,0.00807805623318994,0.00796174388013428,0,0.01291738781713031
Cody White,WR,PIT,0,2,0,0,0,0,0,0.00721385587452813,0.00927893113491447,0.0033327590897607,0.00390607415786065,0,0.01289585883743509
Jacob Hollister,TE,LV,0,1,0,0,0,0,0,0.00645660003926471,0.00675582929001539,0.00621960464889236,0.00649814639785484,0,0.01291738781713031
Corey Davis,WR,NYJ,0,2,0,0,0,0,0,0.09597051742620911,0.0864769766228803,0.09450113810279157,0.09147020856772714,0,0.01222846046688336
Dante Pettis,WR,CHI,0,2,0,0,0,0,0,0.08445168839167469,0.0693061710329579,0.0597537975017803,0.0647603207571444,0,0.01413194591019741
Russell Gage,WR,TB,0,2,0,0,0,0,0,0.14758163820048928,0.14470304970673187,0.13729558881555393,0.1747521272565979,0,0.0134860765193409
Jelani Woods,TE,IND,0,2,0,0,0,0,0,0.08630479417239811,0.07786019168807164,0.08919957125985004,0.08046076897786693,0,0.01404582999141655
Hassan Haskins,RB,TEN,0,2,0,0,0.07129745566353805,0.05453775530548106,0.04040067224944309,0.0472492411778934,0.05639788083239439,0.04920329350749818,0.04046217103840004,0,0.01214234454810249
Ashton Dulin,WR,IND,0,1,0,0,3.947847320989269e-4,6.391246514720364e-4,2.4378702100511608e-4,0.02330676405532658,0.02656504609147662,0.02797358479118493,0.02759007146812657,0,0.01255139516231162
Denzel Mims,WR,DET,0,1,0,0,0,0,0,0.04667391382334831,0.04153768861002309,0.04131737814175482,0.04881523807016508,0,0.01268056904048292
Tyrie Cleveland,WR,PHI,0,1,0,0,0,0,0,6.9559097876866e-4,6.708841012267395e-4,6.006744603529823e-4,5.709715025412953e-4,0,0.01287432985773988
Penny Hart,WR,ATL,0,1,0,0,0,0,0,0.00740447781737552,0.00726721061220175,0.004881960835739,0.00643412341939333,0,0.01285280087804466
Cameron Latu,TE,SF,0,0,0,0,0,0,0,0.06626023730199483,0.06506853035679253,0.06612038779210443,0.06670949250905515,0.21,0.007
Justin Shorter,WR,BUF,0,0,0,0,0,0,0,0.0542659348233254,0.05433604303816402,0.05484267621039835,0.05542054666749601,0.21,0.007
Lew Nichols,RB,GB,0,0,0,0,0.15104508054952043,0.14544693542829948,0.15093415642296423,0.04166678238328522,0.04206302591469572,0.04226791900063263,0.04389104046467097,0.21,0.007
Alize Mack,TE,TEN,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Joe Reed,WR,CHI,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Isaiah Zuber,WR,LV,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Darrius Shepherd,WR,LAC,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Alex Bachman,WR,HOU,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Tre Nixon,WR,NE,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Ra Shaun Henry,WR,SEA,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Trey Lance,QB,DAL,0,2,0,0,0.05,0.05,0.05,0,0,0,0,1.385542168674699,0
Case Keenum,QB,HOU,0,2,0,0,0.05,0.01549511184156128,0.03998370900919024,0,0,0,0,1.385542168674699,0
Malik Turner,WR,IND,0,1,0,0,0,0,0,0.0154568343763169,0.01546982300013101,0.01659563656994259,0.01623755398604861,0,0.01291738781713031
Kyric McGowan,WR,WAS,0,1,0,0,0,0,0,0,0,0,0,0,0.01291738781713031
Brandon Allen,QB,SF,0,2,0,0,0.02883525962990673,0.00143952276942383,0.00867791778877929,0,0,0,0,1.385542168674699,0
John Wolford,QB,TB,0,2,0,0,0.05,0.05,0.05,0,0,0,0,1.5219058050383354,0
Anthony Schwartz,WR,CLE,0,2,0,0,0.01745507658782394,0.04431888821797291,0.05,0.02412320714810562,0.02687207579353241,0.02816059489361122,0.02154545034816896,0,0.01441182264623524
Josh Johnson,QB,BAL,0,2,0,0,0.05,0.05,0.05,0,0,0,0,1.385542168674699,0
Colt McCoy,QB,ARI,0,2,0,0,0.05,0.05,0.05,0,0,0,0,1.4309967141292443,0
