player,team,pos
Aaron Rodgers,NYJ,QB
Marcedes Lewis,CHI,TE
Andy Dalton,CAR,QB
Matthew Stafford,LAR,QB
Kirk Cousins,ATL,QB
Tyrod Taylor,NYJ,QB
Travis Kelce,KC,TE
Adam Thielen,CAR,WR
Taysom Hill,NO,TE
Geno Smith,SEA,QB
Zach Ertz,WAS,TE
Cordarrelle Patterson,PIT,RB
Derek Carr,NO,QB
Kyle Juszczyk,SF,RB
Michael Burton,DEN,RB
MyCole Pruitt,PIT,TE
Raheem Mostert,MIA,RB
Chris Manhertz,NYG,TE
Robert Woods,HOU,WR
Jordan Akins,CLE,TE
Eric Tomlinson,LAC,TE
Keenan Allen,CHI,WR
DeAndre Hopkins,TEN,WR
Jordan Matthews,CAR,TE
Brandon Allen,SF,QB
Tyler Lockett,SEA,WR
Chris Conley,SF,WR
Jacoby Brissett,NE,QB
Davante Adams,LV,WR
Nick Vannett,TEN,TE
DeAndre Carter,CHI,WR
Robbie Anderson,MIA,WR
Nelson Agholor,BAL,WR
Ameer Abdullah,LV,RB
Cooper Kupp,LAR,WR
Chris Moore,ARI,WR
Jamison Crowder,WAS,WR
C J Ham,MIN,RB
Dak Prescott,DAL,QB
Mike Evans,TB,WR
Hayden Hurst,LAC,TE
Mack Hollins,BUF,WR
Mo Alie Cox,IND,TE
Brandin Cooks,DAL,WR
George Kittle,SF,TE
Cooper Rush,DAL,QB
Stefon Diggs,HOU,WR
Derrick Henry,BAL,RB
Tyreek Hill,MIA,WR
Eric Saubert,SF,TE
Dare Ogunbowale,HOU,RB
Patrick Ricard,BAL,RB
Amari Cooper,CLE,WR
Gerald Everett,CHI,TE
Kalif Raymond,DET,WR
Evan Engram,JAC,TE
Demarcus Robinson,LAR,WR
Mike Williams,NYJ,WR
Marquez Valdes Scantling,BUF,WR
Jared Goff,DET,QB
Austin Hooper,NE,TE
Tanner Hudson,CIN,TE
Tyler Boyd,TEN,WR
Johnny Mundt,MIN,TE
Aaron Jones,MIN,RB
Hunter Henry,NE,TE
Zach Pascal,ARI,WR
Calvin Ridley,TEN,WR
KhaDarel Hodge,ATL,WR
Dallas Goedert,PHI,TE
David Moore,CAR,WR
Ross Dwelley,ATL,TE
Josh Reynolds,DEN,WR
Anthony Firkser,NYJ,TE
Jamaal Williams,NO,RB
Gus Edwards,LAC,RB
Baker Mayfield,TB,QB
James Conner,ARI,RB
Austin Ekeler,WAS,RB
Parker Hesse,DET,TE
Mike Boone,CAR,RB
Ezekiel Elliott,DAL,RB
Alvin Kamara,NO,RB
Tyler Conklin,NYJ,TE
Durham Smythe,MIA,TE
Jonnu Smith,MIA,TE
Mark Andrews,BAL,TE
Brandon Powell,MIN,WR
Deshaun Watson,CLE,QB
Terry McLaurin,WAS,WR
Samaje Perine,KC,RB
Patrick Mahomes,KC,QB
Mike Gesicki,CIN,TE
Braxton Berrios,MIA,WR
Courtland Sutton,DEN,WR
Jeff Wilson,MIA,RB
Cedrick Wilson,NO,WR
Trenton Irwin,CIN,WR
Allen Lazard,NYJ,WR
Jeremy McNichols,WAS,RB
Deebo Samuel,SF,WR
Trent Sherfield,MIN,WR
Chris Godwin,TB,WR
D Ernest Johnson,JAC,RB
Justin Watson,KC,WR
Drew Sample,CIN,TE
D Onta Foreman,CLE,RB
Gardner Minshew,LV,QB
Josh Allen,BUF,QB
Craig Reynolds,DET,RB
Khari Blasingame,CHI,RB
Diontae Johnson,CAR,WR
Will Dissly,LAC,TE
Alec Ingold,MIA,RB
David Njoku,CLE,TE
Dalton Schultz,HOU,TE
Joe Mixon,HOU,RB
Van Jefferson,PIT,WR
Tom Kennedy,DET,WR
KaVontae Turpin,DAL,WR
Curtis Samuel,BUF,WR
Jamycal Hasty,NE,RB
Juwan Johnson,NO,TE
John Kelly,BAL,RB
Ray Ray McCloud,ATL,WR
Jakobi Meyers,LV,WR
Dawson Knox,BUF,TE
Christian Kirk,JAC,WR
JuJu Smith Schuster,KC,WR
Joe Burrow,CIN,QB
Lamar Jackson,BAL,QB
Darius Slayton,NYG,WR
Adam Prentice,NO,RB
DJ Turner,LV,WR
Adam Trautman,DEN,TE
Saquon Barkley,PHI,RB
Myles Gaskin,MIN,RB
Britain Covey,PHI,WR
Josh Oliver,MIN,TE
Nick Westbrook Ikhine,TEN,WR
Steven Sims,HOU,WR
Irvin Charles,NYJ,WR
D J Moore,CHI,WR
Tony Pollard,TEN,RB
Miles Sanders,CAR,RB
Foster Moreau,NO,TE
Velus Jones,CHI,WR
Ashton Dulin,IND,WR
Daniel Jones,NYG,QB
Sam Darnold,MIN,QB
David Montgomery,DET,RB
K J Osborn,NE,WR
Ben Skowronek,PIT,WR
A J Brown,PHI,WR
Jauan Jennings,SF,WR
Olamide Zaccheaus,WAS,WR
Scott Miller,PIT,WR
Kyler Murray,ARI,QB
Reggie Gilliam,BUF,RB
Devin Singletary,NYG,RB
Devin Duvernay,JAC,WR
Ty Johnson,BUF,RB
Michael Pittman,IND,WR
Chris Blair,ATL,WR
Luke Farrell,JAC,TE
Charlie Woerner,ATL,TE
Trayveon Williams,CIN,RB
Darnell Mooney,ATL,WR
Simi Fehoko,LAC,WR
John Bates,WAS,TE
Justice Hill,BAL,RB
Noah Fant,SEA,TE
Deonte Harty,BAL,WR
Devaughn Vele,DEN,WR
D K Metcalf,SEA,WR
Zack Moss,CIN,RB
Feleipe Franks,CAR,TE
Ko Kieft,TB,TE
Josh Jacobs,GB,RB
Rhamondre Stevenson,NE,RB
Tua Tagovailoa,MIA,QB
Kyle Trask,TB,QB
Najee Harris,PIT,RB
Justin Herbert,LAC,QB
Mecole Hardman,KC,WR
Brandon Aiyuk,SF,WR
Tanner Conner,MIA,TE
Kylen Granson,IND,TE
Tyreik McAllister,LV,WR
Lil Jordan Humphrey,DEN,WR
