Rk,Season,Team,Cmp,Att,G,W,L,T,W-L%,Pts,PtsO,PtDif,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C,Att,Yds,Y/A,TD
1,2022,TAM,499,386,17,8,9,0,.471,313,358,-45,499,751,252,66.4,4586,26,10,3.5,1.3,89.8,22,160,2.85,6.1,5.93,6.20,6.02,9.2,386,1308,3.4,5
2,2021,TAM,492,385,17,13,4,0,.765,511,353,158,492,731,239,67.3,5229,43,12,5.9,1.6,101.6,23,154,3.05,7.2,6.94,7.59,7.36,10.6,385,1672,4.3,18
3,2022,LAC,485,404,17,10,7,0,.588,391,384,7,485,711,226,68.2,4584,26,10,3.7,1.4,93.3,39,207,5.20,6.4,6.11,6.55,6.21,9.5,404,1524,3.8,15
4,2016,NOR,472,404,16,7,9,0,.438,469,454,15,472,674,202,70.0,5074,38,15,5.6,2.2,102.5,27,184,3.85,7.5,7.24,7.65,7.36,10.8,404,1742,4.3,17
5,2011,NOR,472,431,16,13,3,0,.813,547,339,208,472,662,190,71.3,5347,46,14,6.9,2.1,110.5,24,158,3.50,8.1,7.79,8.52,8.22,11.3,431,2127,4.9,16
6,2013,DEN,461,461,16,13,3,0,.813,606,399,207,461,675,214,68.3,5444,55,10,8.1,1.5,114.4,20,128,2.88,8.1,7.83,9.03,8.77,11.8,461,1873,4.1,16
7,2024,CIN,460,380,17,9,8,0,.529,472,434,38,460,652,192,70.6,4640,43,9,6.6,1.4,108.5,48,278,6.86,7.1,6.63,7.81,7.28,10.1,380,1574,4.1,11
8,2015,NOR,460,397,16,7,9,0,.438,408,476,-68,460,667,207,69.0,4970,32,12,4.8,1.8,100.6,32,235,4.58,7.5,7.11,7.60,7.25,10.8,397,1491,3.8,16
9,2019,ATL,459,362,16,7,9,0,.438,381,399,-18,459,684,225,67.1,4714,29,15,4.2,2.2,93.8,50,335,6.81,6.9,6.42,6.75,6.29,10.3,362,1361,3.8,10
10,2018,PIT,459,345,16,9,6,1,.594,428,360,68,459,689,230,66.6,5008,35,17,5.1,2.5,95.5,24,166,3.37,7.3,7.02,7.17,6.93,10.9,345,1445,4.2,16
11,2014,NOR,456,406,16,7,9,0,.438,401,424,-23,456,659,203,69.2,4764,33,17,5.0,2.6,97.0,30,188,4.35,7.2,6.91,7.07,6.76,10.4,406,1818,4.5,16
12,2010,IND,450,393,16,10,6,0,.625,435,388,47,450,679,229,66.3,4609,33,17,4.9,2.5,91.9,16,91,2.30,6.8,6.63,6.63,6.48,10.2,393,1483,3.8,13
13,2010,NOR,450,380,16,11,5,0,.688,384,307,77,450,661,211,68.1,4441,33,22,5.0,3.3,90.8,26,195,3.78,6.7,6.46,6.22,5.98,9.9,380,1519,4.0,9
14,2022,MIN,448,404,17,13,4,0,.765,424,427,-3,448,672,224,66.7,4484,30,15,4.5,2.2,93.1,47,334,6.54,6.7,6.24,6.56,6.13,10.0,404,1661,4.1,18
15,2021,KAN,448,431,17,12,5,0,.706,480,364,116,448,675,227,66.4,4791,37,13,5.5,1.9,98.1,28,146,3.98,7.1,6.82,7.33,7.04,10.7,431,1955,4.5,16
16,2013,NOR,446,391,16,11,5,0,.688,414,304,110,446,651,205,68.5,4918,39,12,6.0,1.8,104.5,37,244,5.38,7.6,7.15,7.92,7.50,11.0,391,1473,3.8,10
17,2013,ATL,445,321,16,4,12,0,.250,353,443,-90,445,659,214,67.5,4243,26,17,3.9,2.6,89.5,44,298,6.26,6.4,6.04,6.07,5.69,9.5,321,1247,3.9,11
18,2012,DET,445,391,16,4,12,0,.250,372,437,-65,445,740,295,60.1,4927,22,17,3.0,2.3,81.5,29,212,3.77,6.7,6.41,6.22,5.98,11.1,391,1613,4.1,17
19,2021,DAL,444,473,17,12,5,0,.706,530,358,172,444,647,203,68.6,4800,40,11,6.2,1.7,104.8,33,163,4.85,7.4,7.06,7.89,7.51,10.8,473,2119,4.5,15
20,2021,LAC,443,423,17,9,8,0,.529,474,459,15,443,674,231,65.7,4800,38,15,5.6,2.2,97.4,31,214,4.40,7.1,6.81,7.25,6.93,10.8,423,1834,4.3,18
21,2015,SDG,442,393,16,4,12,0,.250,320,398,-78,442,667,225,66.3,4591,30,13,4.5,1.9,94.5,40,264,5.66,6.9,6.49,6.91,6.51,10.4,393,1358,3.5,4
22,2007,NOR,440,392,16,7,9,0,.438,379,388,-9,440,652,212,67.5,4314,28,18,4.3,2.8,89.4,16,109,2.40,6.6,6.46,6.23,6.08,9.8,392,1466,3.7,14
23,2016,BAL,439,367,16,8,8,0,.500,343,321,22,439,679,240,64.7,4100,20,16,2.9,2.4,82.6,33,243,4.63,6.0,5.76,5.57,5.31,9.3,367,1463,4.0,10
24,2022,KAN,435,417,17,14,3,0,.824,496,369,127,435,651,216,66.8,5062,41,12,6.3,1.8,104.7,26,188,3.84,7.8,7.48,8.21,7.89,11.6,417,1970,4.7,18
25,2012,DAL,434,355,16,8,8,0,.500,376,400,-24,434,658,224,66.0,4729,29,19,4.4,2.9,91.3,36,263,5.19,7.2,6.81,6.77,6.42,10.9,355,1265,3.6,8
26,2022,ARI,433,434,17,4,13,0,.235,340,449,-109,433,664,231,65.2,3626,17,17,2.6,2.6,79.2,46,340,6.48,5.5,5.11,4.82,4.51,8.4,434,1873,4.3,15
27,2018,IND,432,408,16,10,6,0,.625,433,344,89,432,644,212,67.1,4461,39,15,6.1,2.3,98.2,18,134,2.72,6.9,6.74,7.09,6.90,10.3,408,1718,4.2,13
28,2021,LVR,429,414,17,10,7,0,.588,374,439,-65,429,628,199,68.3,4567,23,14,3.7,2.2,93.8,40,241,5.99,7.3,6.84,7.00,6.58,10.6,414,1617,3.9,14
29,2023,DAL,428,468,17,12,5,0,.706,509,315,194,428,614,186,69.7,4397,36,10,5.9,1.6,104.6,40,263,6.12,7.2,6.72,7.60,7.14,10.3,468,1920,4.1,14
