Player,Team,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
Zamir White,LV,68,263.7,1.6,11.5,80.9,0.3,0.1,45.8
Kyle Monangai,CHI,44.2,265.3,2.4,6.4,45.6,0.1,0.1,45.7
Jarquez Hunter,LAR,61.6,251,2,7.1,61.4,0.4,0.7,44.4
Antonio Gibson,NE,50.7,213.7,1,16.5,133.8,0.5,0,43.5
Devin Neal,NO,53.5,247.6,1.7,8.3,61.7,0.4,0.1,43.3
Kenneth Gainwell,PIT,58.5,226.6,1.6,12.5,88.2,0.4,0.4,42.7
Isaac Guerendo,SF,50.1,239.8,1.9,7.5,67.4,0.1,0.4,41.8
Devin Singletary,NYG,52.1,236.9,1.5,9.4,63.7,0.1,0.4,39.3
Will Shipley,PHI,40.2,214.2,1.4,9.2,68.4,0.5,0.1,38.9
Trevor Etienne,CAR,48.3,192.7,1.5,10.8,87.7,0.4,0.4,38.7
Jaleel McLaughlin,DEN,39.6,169.4,0.9,18.2,110.1,0.9,0.5,37.7
Emanuel Wilson,GB,42.9,206.7,1.4,7.9,57.3,0.4,0.4,36.7
Sean Tucker,TB,45.1,231.9,1.4,5.3,41.1,0.4,0.7,36.3
Elijah Mitchell,KC,59.6,200.8,1.6,7.2,40.8,0.4,0.1,35.8
Tyler Goodson,IND,52.6,180.9,1.1,5.7,37.8,0.4,0,30.5
DJ Giddens,IND,23.7,163.2,1.3,7.6,56.4,0.1,0,30.3
Dameon Pierce,HOU,38.1,183.4,1.2,7.7,50.9,0.2,0.8,29.9
Julius Chestnut,TEN,36.7,144.3,0.8,10.3,75.3,0.3,0,28.9
A.J. Dillon,PHI,37,154.1,1.3,3.6,28.5,0.1,0,26.5
Hassan Haskins,LAC,28.2,117.5,0.9,7.7,59.3,0.5,0.3,25.3
Isaiah Davis,NYJ,30.7,151.8,0.9,4.9,35.7,0.1,0,24.5
Zavier Scott,MIN,32,153,1,3,29,0,0,24.2
Chris Brooks,GB,27.3,136.3,0.9,7.3,48.5,0.1,0,24.1
Kyle Juszczyk,SF,5.9,24.2,0.3,14.6,139.9,0.8,0.4,22.8
Brashard Smith,KC,19.9,98.1,0.7,7.1,54.1,0.3,0,21.5
Kalel Mullings,TEN,28.5,118.9,0.9,4.2,32.3,0.1,0,20.9
Kimani Vidal,LAC,39.6,95,0.5,6.5,49.6,0.4,0,19.7
Emari Demercado,ARI,18.7,106.3,0.4,8.1,54.1,0.1,0,19.1
Ty Chandler,MIN,19.3,97.3,0.7,4.9,34.7,0.1,0,17.9
Jeremy McNichols,WAS,21.9,92.9,1.1,2.7,15.3,0,0,17.7
George Holani,SEA,8.8,98.1,0.6,3,21.9,0,0,15.8
LeQuint Allen Jr.,JAC,17,60.6,0.7,3.5,25.4,0.1,0,13.1
Craig Reynolds,DET,8.5,38,0.1,6.9,55.1,0.4,0,12.3
Alec Ingold,MIA,9,21.7,0.6,6.1,44.1,0.4,0.4,11.7
Travis Homer,CHI,19.5,63.4,0.3,3.4,25.5,0.1,0,11.2
Phil Mafah,DAL,0,61.5,0.5,1.5,11,0,0,10.3
C.J. Ham,MIN,2.2,10.4,1,3.6,25.8,0,0,9.9
Jordan James,SF,18.2,63,0.4,1,12,0,0,9.8
