Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Tom Brady,18,2,0,0,0,100.0,Sun,1,1,2022-09-11,45-039,TAM,@,DAL,W 19-3,18,27,9,66.7,212,1,1,0,3.7,3.7,87.3,2,17,6.90,7.9,6.93,5.86,11.8,51.7,2,-1,-0.5,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,62,100.0,0,0.0,0,0.0,QB,BradTo00
2,Aaron Rodgers,22,1,0,0,1,91.8,Sun,1,1,2022-09-11,38-283,GNB,@,MIN,L 7-23,22,34,12,64.7,195,0,1,0,0.0,2.9,67.6,4,33,10.53,5.7,4.41,3.08,8.9,42.1,1,-1,-1.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,56,91.8,0,0.0,0,0.0,QB,RodgAa00
3,Joe Flacco,37,1,0,0,0,100.0,Sun,1,1,2022-09-11,37-238,NYJ,,BAL,L 9-24,37,59,22,62.7,309,1,1,0,1.7,1.7,74.8,3,12,4.84,5.2,4.81,4.39,8.4,43.5,1,0,0.0,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,84,100.0,0,0.0,0,0.0,QB,FlacJo00
4,Matt Ryan,32,4,0,0,4,100.0,Sun,1,1,2022-09-11,37-117,IND,@,HOU,T 20-20 (OT),32,50,18,64.0,352,1,1,0,2.0,2.0,83.1,2,12,3.85,7.0,6.54,6.06,11.0,46.2,4,12,3.0,0,2,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,4,2,-2,0,0,92,100.0,0,0.0,0,0.0,QB,RyanMa00
5,Chad Henne,0,0,0,0,1,7.1,Sun,1,1,2022-09-11,37-071,KAN,@,ARI,W 44-21,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,5,7.1,0,0.0,0,0.0,QB,HennCh01
6,Andre Roberts,0,0,0,0,0,0.0,Sun,1,1,2022-09-11,34-245,CAR,,CLE,L 24-26,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,12,37.5,WR,RobeAn00
7,Matthew Stafford,29,1,0,0,1,100.0,Thu,1,1,2022-09-08,34-213,LAR,,BUF,L 10-31,29,41,12,70.7,240,1,3,0,2.4,7.3,63.1,7,49,14.58,5.9,3.05,1.58,8.3,45.8,1,2,2.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,1,0,0,0,67,100.0,0,0.0,0,0.0,QB,StafMa00
8,Ryan Tannehill,20,2,0,0,0,100.0,Sun,1,1,2022-09-11,34-046,TEN,,NYG,L 20-21,20,33,13,60.6,266,2,0,0,6.1,0.0,106.4,1,0,2.94,8.1,9.27,9.00,13.3,52.9,2,7,3.5,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,65,100.0,0,0.0,0,0.0,QB,TannRy00
9,Taiwan Jones,0,0,0,0,0,0.0,Thu,1,1,2022-09-08,34-044,BUF,@,LAR,W 31-10,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,11,57.9,RB,JoneTa00
10,A.J. Green,0,0,4,0,0,73.8,Sun,1,1,2022-09-11,34-042,ARI,,KAN,L 21-44,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,4,2,13,6.5,0,50.0,3.3,1,25.0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,48,73.8,0,0.0,0,0.0,WR,GreeA.00
