Rk,Player,Cmp,Att,Tgt,TD,Fmb,Off%,Day,G#,Week,Date,Age,Team,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,Pick6,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,AY/A,ANY/A,Y/C,Succ%,Att,Yds,Y/A,TD,1D,Succ%,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,1D,Succ%,TD,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,Pts,Fmb,FR,Yds,FRTD,FF,OffSnp,Off%,DefSnp,Def%,STSnp,ST %,Pos.,-9999
1,Tom Brady,18,3,0,0,1,100.0,Sun,2,2,2022-09-18,45-046,TAM,@,NOR,W 20-10,18,34,16,52.9,190,1,0,0,2.9,0.0,79.3,1,2,2.86,5.6,6.18,5.94,10.6,28.6,3,-2,-0.7,0,0,0.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,1,0,0,67,100.0,0,0.0,0,0.0,QB,BradTo00
2,Aaron Rodgers,19,5,0,0,1,100.0,Sun,2,2,2022-09-18,38-290,GNB,,CHI,W 27-10,19,25,6,76.0,234,2,0,0,8.0,0.0,131.1,3,23,10.71,9.4,10.96,8.96,12.3,50.0,5,10,2.0,0,1,40.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,2,0,0,68,100.0,0,0.0,0,0.0,QB,RodgAa00
3,Joe Flacco,26,2,0,0,1,100.0,Sun,2,2,2022-09-18,37-245,NYJ,@,CLE,W 31-30,26,44,18,59.1,307,4,0,0,9.1,0.0,110.7,2,15,4.35,7.0,8.80,8.09,11.8,41.3,2,6,3.0,0,1,50.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,70,100.0,0,0.0,0,0.0,QB,FlacJo00
4,Matt Ryan,16,0,0,0,1,96.0,Sun,2,2,2022-09-18,37-124,IND,@,JAX,L 0-24,16,30,14,53.3,195,0,3,0,0.0,10.0,34.0,5,31,14.29,6.5,2.00,0.83,12.2,31.4,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,48,96.0,0,0.0,0,0.0,QB,RyanMa00
5,Matthew Stafford,27,0,0,0,0,98.4,Sun,2,2,2022-09-18,34-223,LAR,,ATL,W 31-27,27,36,9,75.0,272,3,2,0,8.3,5.6,100.7,1,0,2.70,7.6,6.72,6.54,10.1,67.6,0,0,,0,0,,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,62,98.4,0,0.0,0,0.0,QB,StafMa00
6,Case Keenum,0,3,0,0,0,23.5,Mon,2,2,2022-09-19,34-214,BUF,,TEN,W 41-7,0,2,2,0.0,0,0,0,0,0.0,0.0,39.6,0,0,0.00,0.0,0.00,0.00,,0.0,3,2,0.7,0,,0.0,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,16,23.5,0,0.0,0,0.0,QB,KeenCa00
7,Taiwan Jones,0,0,0,0,0,0.0,Mon,2,2,2022-09-19,34-055,BUF,,TEN,W 41-7,0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,,,0,0,0,,0,,,,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0,0.0,20,74.1,RB,JoneTa00
8,Ryan Tannehill,11,1,0,0,0,69.6,Mon,2,2,2022-09-19,34-054,TEN,@,BUF,L 7-41,11,20,9,55.0,117,0,2,1,0.0,10.0,32.7,2,16,9.09,5.9,1.35,0.50,10.6,31.8,1,2,2.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,39,69.6,0,0.0,0,0.0,QB,TannRy00
9,A.J. Green,0,0,7,0,0,85.1,Sun,2,2,2022-09-18,34-049,ARI,@,LVR,W 29-23 (OT),0,0,0,,0,0,0,0,,,,0,0,,,,,,,0,0,,0,0,,7,3,16,5.3,0,42.9,2.3,1,28.6,0,0,0,,0,0,,1,0,2,0,0,0,0,0,74,85.1,0,0.0,0,0.0,WR,GreeA.00
10,Kirk Cousins,27,2,0,0,1,100.0,Mon,2,2,2022-09-19,34-031,MIN,@,PHI,L 7-24,27,46,19,58.7,221,1,3,0,2.2,6.5,51.1,2,19,4.17,4.8,2.30,1.81,8.2,41.7,2,20,10.0,0,1,100.0,0,0,0,,0,,,0,,0,0,0,,0,0,,0,0,0,1,0,0,0,0,61,100.0,0,0.0,0,0.0,QB,CousKi00
