"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Houston Texans",HOU,"vs. LV","5 out of 5 stars","A+","12.8"
"2","Buffalo Bills",BUF,"at CLE","5 out of 5 stars","A","9.0"
"3","Kansas City Chiefs",KC,"at TEN","5 out of 5 stars","A","8.7"
"4","New Orleans Saints",NO,"vs. NYJ","5 out of 5 stars","A-","8.6"
"5","Philadelphia Eagles",PHI,"at WAS","4 out of 5 stars","A","8.4"
"6","Minnesota Vikings",MIN,"at NYG","3 out of 5 stars","B+","7.6"
"7","Denver Broncos",DEN,"vs. JAC","2 out of 5 stars","B+","7.0"
"8","San Francisco 49ers",SF,"at IND","1 out of 5 stars","B","7.0"
"9","Los Angeles Rams",LAR,"at SEA","2 out of 5 stars","B","6.7"
"10","Seattle Seahawks",SEA,"vs. LAR","1 out of 5 stars","B-","6.6"
"11","Detroit Lions",DET,"vs. PIT","2 out of 5 stars","C+","6.6"
"12","Dallas Cowboys",DAL,"vs. LAC","5 out of 5 stars","C","6.5"
"13","New York Giants",NYG,"vs. MIN","5 out of 5 stars","C","6.4"
"14","Tampa Bay Buccaneers",TB,"at CAR","4 out of 5 stars","C","6.4"
"15","Tennessee Titans",TEN,"vs. KC","2 out of 5 stars","C","6.3"
"16","Atlanta Falcons",ATL,"at ARI","4 out of 5 stars","C-","6.3"
"17","Jacksonville Jaguars",JAC,"at DEN","2 out of 5 stars","D+","6.2"
"18","Green Bay Packers",GB,"at CHI","1 out of 5 stars","D+","6.2"
"19","New England Patriots",NE,"at BAL","3 out of 5 stars","D","6.0"
"20","Cincinnati Bengals",CIN,"at MIA","4 out of 5 stars","D-","5.9"
"21","New York Jets",NYJ,"at NO","4 out of 5 stars","D","5.9"
"22","Carolina Panthers",CAR,"vs. TB","2 out of 5 stars","D","5.7"
"23","Baltimore Ravens",BAL,"vs. NE","3 out of 5 stars","D-","5.5"
"24","Los Angeles Chargers",LAC,"at DAL","1 out of 5 stars","D","5.4"
"25","Chicago Bears",CHI,"vs. GB","1 out of 5 stars","F","5.4"
"26","Miami Dolphins",MIA,"vs. CIN","5 out of 5 stars","F","5.3"
""
"27","Cleveland Browns",CLE,"vs. BUF","2 out of 5 stars","F","5.2"
"28","Arizona Cardinals",ARI,"vs. ATL","3 out of 5 stars","F","5.2"
"29","Pittsburgh Steelers",PIT,"at DET","1 out of 5 stars","F","4.9"
"30","Indianapolis Colts",IND,"vs. SF","2 out of 5 stars","F","4.9"
"31","Las Vegas Raiders",LV,"at HOU","2 out of 5 stars","F","4.9"
"32","Washington Commanders",WAS,"vs. PHI","2 out of 5 stars","F","4.8"
